name,smiles,Tox-score,SAscore
,C=CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5367581569893501,0.15058890166411998
,C#CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.540490902884271,0.13265596695990697
,C=C(Br)CN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5311281125950736,0.12353982900489553
,C=C(C)CN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5496123797048879,0.14531751779257904
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CC(C)C,0.5220496384785379,0.16737220300715863
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CC(C)=O,0.5418022652346456,0.1536227621918771
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CC(C)O,0.5424890990220537,0.11978454284946967
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CNC(C)=O,0.5239822129970616,0.131944794186906
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CN(C)C,0.5422364719974829,0.13192119125213483
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CC(=O)OC,0.5152841988793015,0.16378842072581942
,CCN(C)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.546590770656112,0.18041607175961571
,CCN(CC#N)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5383815687480288,0.1421167642463246
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CC(N)=O,0.5440113995865118,0.16103876648780205
,CCN(CO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5375736425709804,0.1457426650663135
,CCN(CC#CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5242321512807647,0.11809894011601697
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CC(O)CCl,0.5271135888357036,0.10422007020289656
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CC(=O)O,0.5439578540259611,0.16868060314233477
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CP(=O)(O)O,0.5248228916275705,0.12192013378765702
,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)COC(=S)S,0.4983738757602278,0.10093655798098923
,CC(CCCN(CCO)CCBr)Nc1ccnc2cc(Cl)ccc12,0.5389656337813897,0.13441996304018486
,CC(CCCN(CCO)CC1CO1)Nc1ccnc2cc(Cl)ccc12,0.5433096884545298,0.1054297805458245
,C=CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5428740673103138,0.1389621726678529
,C#CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5471368790776362,0.12427108287568599
,CCCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5447226240108527,0.16263266435104082
,C=C(Br)CN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5392367523965631,0.1152891072741626
,C=C(C)CN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5572245895585847,0.13467201321108604
,CC(C)CN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5245863488781147,0.1538312706308735
,CC(=O)CN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.554361137704046,0.14203012935407186
,CC(O)CN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5395787328967172,0.11052241482230939
,CC(CCCN(CCO)CN(C)C)Nc1ccnc2cc(Cl)ccc12,0.5595073850033452,0.12308192648804071
,CC(CCCN(CO)CCO)Nc1ccnc2cc(Cl)ccc12,0.5496590143422478,0.13401046298441613
,CC(CCCCCCO)Nc1ccnc2cc(Cl)ccc12,0.6008830621404422,0.20576325903562026
,CC(CCCC#CCCO)Nc1ccnc2cc(Cl)ccc12,0.5835111392975749,0.13716278214336958
,CC(CCCCCCCO)Nc1ccnc2cc(Cl)ccc12,0.6008830621404422,0.20367879843051714
,CC(CCCC#CCCCO)Nc1ccnc2cc(Cl)ccc12,0.5830582377286724,0.13123404932824978
,CC(CCCCCCCCO)Nc1ccnc2cc(Cl)ccc12,0.6008830621404422,0.20121654487989116
,CC(CCCC=CCCCCO)Nc1ccnc2cc(Cl)ccc12,0.5989501795593325,0.15468466647254459
,CC(CCCC#CCCCCO)Nc1ccnc2cc(Cl)ccc12,0.5784652699386372,0.13347216879594445
,CC(CCCCCOCCO)Nc1ccnc2cc(Cl)ccc12,0.5898084985235206,0.18336028622575715
,CC(CCCCCSCCO)Nc1ccnc2cc(Cl)ccc12,0.5649222176946648,0.1576720637473774
,CC(CCCCC#CCCCO)Nc1ccnc2cc(Cl)ccc12,0.582920598843209,0.13394520190579648
,CC(CCCCCCCCCO)Nc1ccnc2cc(Cl)ccc12,0.6008830621404422,0.19843645092592246
,CC(CCCCC#CCCCCO)Nc1ccnc2cc(Cl)ccc12,0.5794793220018192,0.1356486761266908
,CC(CCCCCCCCCCO)Nc1ccnc2cc(Cl)ccc12,0.6008830621404422,0.195390290659018
,CC(CCCCCCCOCCO)Nc1ccnc2cc(Cl)ccc12,0.5898084985235206,0.17943525265687704
,CC(CCCCCCCSCCO)Nc1ccnc2cc(Cl)ccc12,0.5649222176946648,0.15624991445321026
,CC(CCCCCC#CCCCO)Nc1ccnc2cc(Cl)ccc12,0.5734021108524517,0.1340667097928679
,CC(CCCOCCOCCO)Nc1ccnc2cc(Cl)ccc12,0.5883730167938017,0.1640495584674422
,CC(CCCCCCOCCO)Nc1ccnc2cc(Cl)ccc12,0.5898084985235206,0.18155898880400978
,CC(CCCCOCCOCCO)Nc1ccnc2cc(Cl)ccc12,0.6004385932929872,0.1656603210915484
,CC(CCCCCCSCCO)Nc1ccnc2cc(Cl)ccc12,0.5649222176946648,0.15715103730270646
,CC(CCCCNCCO)Nc1ccnc2cc(Cl)ccc12,0.589087508727617,0.18183550819022218
,CC(CCCCOCCO)Nc1ccnc2cc(Cl)ccc12,0.5999838222575711,0.1847845199764086
,CC(CCCCSCCO)Nc1ccnc2cc(Cl)ccc12,0.5733994995166555,0.15775880442986082
,CC(CCCOCCO)Nc1ccnc2cc(Cl)ccc12,0.5879182457583856,0.18194981282171716
,CC(CCCCC(=O)NCCO)Nc1ccnc2cc(Cl)ccc12,0.57258273185989,0.19029754263090545
,CC(CCCCC(=O)NOCCO)Nc1ccnc2cc(Cl)ccc12,0.540763611724212,0.14587452008640608
,CC(CCCCCC(=O)NCCO)Nc1ccnc2cc(Cl)ccc12,0.5628929228154588,0.18774490982400938
,CC(CCCNC(=O)OCCO)Nc1ccnc2cc(Cl)ccc12,0.544619857253327,0.1710192229605818
,CC(CCCC(=O)NCCO)Nc1ccnc2cc(Cl)ccc12,0.5686032440438453,0.18882708932813316
,CC(CCCCNC(=O)OCCO)Nc1ccnc2cc(Cl)ccc12,0.5493927014267261,0.17084001192318493
,CC(CCCC(=O)NOCCO)Nc1ccnc2cc(Cl)ccc12,0.5380778382069847,0.14352015993297293
,CC(CCCOC(=O)SSCCO)Nc1ccnc2cc(Cl)ccc12,0.5303516297720025,0.10112388681778883
,CC(CCCN(CCCO)N=O)Nc1ccnc2cc(Cl)ccc12,0.5608984604497768,0.1128175988704294
,CC(CCCSCCO)Nc1ccnc2cc(Cl)ccc12,0.5969714927739985,0.15409477241163858
,CCN(CCO)CCCC(=O)Nc1ccnc2cc(Cl)ccc12,0.5344739802952759,0.3098058105208829
,CCC(O)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5989221549604469,0.13786082751938056
,CCCCCC(O)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5874714898269956,0.13837908219263717
,CCCCCC(O)CCCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5874714898269956,0.13779611358851568
,CCC(O)OCCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5551269937151491,0.1127485714866104
,CCC(CCCC(C)Nc1ccnc2cc(Cl)ccc12)C(=O)O,0.5514689108623763,0.1349440320213854
,CCC(O)C(=O)OCCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5291346477318944,0.11692347739138227
,CCOP(=O)(O)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.5531344766730595,0.09832971010737937
,CCN(CCO)CCCCNc1ccnc2cc(Cl)ccc12,0.5478957856261647,0.2880851504206361
,CCN(CCO)CCCC(C)Nc1ccnc2cc(Br)ccc12,0.5113138402920043,0.15590149846935053
,CCN(CCO)CCCC(C)Nc1ccnc2cc(CBr)ccc12,0.5200281237694169,0.13692303115784393
,CCN(CCO)CCCC(C)Nc1ccnc2cc(C)ccc12,0.5307510016180077,0.16766176528416157
,C#Cc1ccc2c(NC(C)CCCN(CC)CCO)ccnc2c1,0.5340357739609373,0.1261991270681444
,CCN(CCO)CCCC(C)Nc1ccnc2cc(C(C)=O)ccc12,0.500252422872159,0.15946567003907647
,CCOc1ccc2c(NC(C)CCCN(CC)CCO)ccnc2c1,0.5116985657110307,0.16367207671735778
,CCN(CCO)CCCC(C)Nc1ccnc2cc(CCl)ccc12,0.5189088165300979,0.1422487552636572
,CCN(CCO)CCCC(C)Nc1ccnc2cc(OC)ccc12,0.523943589317185,0.16941691281267565
,CCN(CCO)CCCC(C)Nc1ccnc2cc(F)ccc12,0.5288984915417387,0.163154448201917
,CCN(CCO)CCCC(C)Nc1ccnc2ccccc12,0.539813635358174,0.18587858393885387
