name,smiles,Tox-score,SAscore
,CC(C)NC(=O)c1ccncc1,0.6720551133421855,0.5111590787376368
,CC(C)(C)NC(=O)c1ccncc1,0.6473571297924198,0.42990597327933666
,CN(C)CCNC(=O)c1ccncc1,0.680500580552299,0.45267217337374155
,C#CC(C)(C)NC(=O)c1ccncc1,0.6167214788098577,0.24734807512099868
,CN(C)CCCNC(=O)c1ccncc1,0.6695531713854462,0.4510232379101324
,COC(CNC(=O)c1ccncc1)OC,0.6727091482627365,0.32477873601172214
,CC(C)C=NNC(=O)c1ccncc1,0.6611028979532348,0.27582412950872803
,CN(C)NC(=O)c1ccncc1,0.6835487792668856,0.32745229780294316
,CC(C)=NNC(=O)c1ccncc1,0.6787103482881531,0.31773186544340215
,CC(C)(C#N)NC(=O)c1ccncc1,0.6496174308626016,0.27009022499039065
,CC(C)(C#N)NNC(=O)c1ccncc1,0.6307647214599954,0.19589526103284075
,CC(C)(CO)NC(=O)c1ccncc1,0.6622399389314196,0.33212517807669933
,COC(=O)C(C)NC(=O)c1ccncc1,0.6259621148136107,0.2805234088700427
,CC(C)C(=O)SNC(=O)c1ccncc1,0.6764436746696408,0.1637504071506887
,CC(C)CC=CC(=O)c1ccncc1,0.6558158092186568,0.26609468606247144
,CC(C)CCOC(=O)c1ccncc1,0.620608998349138,0.4345856448179988
,CC(C)N(C(=O)c1ccncc1)C(C)C,0.653910205505995,0.3329412361306738
,CC(C)NC(C)C(=O)c1ccncc1,0.6638823433950591,0.1936480764090274
,CC(C)COC(=O)c1ccncc1,0.6216710127610023,0.4415131642346943
,CC(C)C(=N)NOC(=O)c1ccncc1,0.6408758543544161,0.15349504924389698
,CC(C)NOC(=O)c1ccncc1,0.6547282477610847,0.23100571536377282
,CC(C)OC(=O)c1ccncc1,0.6748846423917881,0.4620354822789622
,CCNNC(=O)c1ccncc1,0.6902714474738583,0.308164328439014
,CC(=O)NNC(=O)c1ccncc1,0.6684340944840508,0.4094062079587598
,CCC(=O)NNC(=O)c1ccncc1,0.6593850675498301,0.40900716795667724
,COC(=O)NNC(=O)c1ccncc1,0.6888409883285468,0.38548668234201294
,CCOC(=O)NNC(=O)c1ccncc1,0.651459265473396,0.3919155316170328
,CNC(=S)NNC(=O)c1ccncc1,0.7000784854067901,0.32187581953739425
,CCNC(=S)NNC(=O)c1ccncc1,0.6849849123781606,0.33933248279339845
,CSC(=S)NNC(=O)c1ccncc1,0.6450902534662831,0.2335235613864556
,CCSC(=S)NNC(=O)c1ccncc1,0.6714992583825781,0.21555062193996577
